Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cabo Verde,CPV,1239.377855,1268.884564,1373.515636,1768.921302,1976.458506,2048.13459,2304.289902,3112.285712,3638.905946,3444.5566,3312.825985,3670.429453,3408.482762,3558.796314,3529.618403,2954.119467,2997.75268,3244.409561
Costa Rica,CRI,3808.363689,3981.528047,4062.014965,4167.714107,4425.507467,4697.011135,5245.187372,6120.623418,6911.136136,6809.396224,8199.414621,9186.59639,9985.36959,10569.66631,10647.44179,11406.36273,11824.6381,11677.26904
Caribbean small states,CSS,4938.532599,5043.494048,5275.617967,5621.26785,6130.263788,6898.778285,7697.176479,8503.255402,9641.410665,8059.695503,8701.583469,9352.573111,9592.779948,9654.56647,9597.558084,9271.364771,8769.641649,9448.224139
Cuba,CUB,2741.110542,2832.188893,2994.339988,3192.669378,3390.716256,3779.05707,4669.060916,5184.494227,5376.447622,5484.7763,5676.141403,6075.924306,6425.941119,6760.15344,7050.50199,7602.261218,,8433.092699
Curacao,CUW,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,,,,,,,64100.9077,,,,,,,,,,,
Cyprus,CYP,14672.88206,15062.92433,16372.29152,20293.40789,23932.49128,25324.48666,27169.99256,31386.63265,35390.70488,32105.8159,30818.46396,32233.83942,28951.15556,27907.96736,27340.88382,23075.1127,23324.20174,25658.79966
Czech Republic,CZE,5994.528277,6594.717465,8011.898074,9741.058384,11667.63212,13317.72983,15159.14115,18333.9459,22649.37934,19698.49209,19764.01554,21717.45794,19729.87051,19916.01939,19744.55861,17556.9243,18266.54969,20379.89604
Germany,DEU,23718.7467,23687.31689,25205.16445,30359.95215,34165.93403,34696.62092,36447.87232,41814.8191,45699.19832,41732.70725,41785.55691,46810.32796,44065.24891,46530.91143,47902.65288,41176.88158,41936.05858,44665.50637
Djibouti,DJI,768.1760767,781.2322196,792.15412,819.974118,864.1847206,904.7297489,965.6693779,1047.586896,1214.077118,1253.657431,1325.990724,1430.986898,1536.150685,1622.637974,1740.915011,1862.167274,,1927.589706
Dominica,DMA,4820.107567,4924.922784,4836.384921,4994.667402,5325.046981,5244.033732,5513.16071,5939.053585,6446.663832,6866.224899,6912.435714,6985.532327,6744.567106,7022.750665,7257.395143,7069.502788,7144.454673,6719.337166
Denmark,DNK,30743.55917,30751.64946,33228.69291,40458.77064,46511.60457,48799.82037,52026.99311,58487.04501,64322.06664,58163.29359,58041.41122,61753.66007,58507.50021,61191.19263,62425.5392,53014.64416,53417.66428,57218.85196
Dominican Republic,DOM,2802.420042,2862.154836,3008.465078,2372.628827,2421.096062,3681.059903,3836.468771,4647.310359,5011.037937,4952.677503,5451.06696,5759.0643,5968.876767,6027.055544,6268.692122,6468.471648,6722.223536,7052.258839
Algeria,DZA,1757.017797,1732.857979,1774.033673,2094.335506,2598.908023,3100.122378,3464.610079,3935.183343,4905.254866,3868.83123,4463.394675,5432.250203,5564.82566,5471.866766,5470.851007,4132.760292,3843.752322,4055.247211
East Asia & Pacific (excluding high income),EAP,958.2275205,1009.927342,1107.819717,1243.193206,1429.786281,1640.151665,1958.345175,2458.680923,3089.768511,3328.470927,4008.175818,4864.576139,5387.908975,5905.389866,6304.610974,6514.616205,6586.077744,7126.330372
Early-demographic dividend,EAR,1319.889063,1280.919911,1222.804198,1344.428834,1536.269143,1762.84505,1985.615393,2320.982644,2577.850413,2440.345378,2918.784661,3240.127598,3322.534107,3354.888268,3375.658748,3237.128484,3240.724515,3530.385625
East Asia & Pacific,EAS,4051.694011,3734.924892,3762.157335,4103.130421,4566.472945,4833.571691,5087.217636,5649.697592,6479.052497,6630.443905,7677.795457,8842.558955,9400.029868,9445.001895,9662.432037,9541.144659,9786.468143,10367.79943
Europe & Central Asia (excluding high income),ECA,1813.342178,1806.728721,2068.785101,2615.230472,3444.238761,4343.651604,5312.265531,6841.426722,8436.825523,6613.476812,7822.755234,9548.097617,9984.825787,10491.19978,9887.735413,7518.759638,7136.901298,7949.48258
Europe & Central Asia,ECS,11609.94629,11709.96011,12785.0111,15534.97875,18056.92455,19172.63322,20687.72896,24088.04199,26325.92753,23056.929,23515.28637,25975.01712,24901.23891,25870.41354,26135.2771,22347.20402,22108.51128,23488.46399
Ecuador,ECU,1451.290776,1903.741571,2183.966796,2440.46898,2708.557892,3021.942547,3350.786541,3590.718086,4274.952065,4255.565701,4657.302361,5223.351763,5702.104313,6074.090829,6432.216537,6205.062224,5968.984138,6273.488892
"Egypt, Arab Rep.",EGY,1428.183004,1370.717438,1210.229249,1120.874928,1045.943208,1168.115231,1375.196316,1640.476068,2011.246154,2291.667062,2602.479549,2747.480327,3181.441708,3213.389158,3327.754247,3547.713012,3514.490097,2412.727082
Euro area,EMU,20189.0172,20441.10134,22132.18892,27158.57724,30980.64058,31985.29093,33797.63094,38712.1148,42226.84293,38482.28388,37610.82843,40613.22038,37593.15416,39097.59064,39765.19375,34213.51214,34866.09607,36984.31126
Eritrea,ERI,208.1969487,215.1392103,201.7687981,232.7945459,287.4222243,276.7508096,297.8280588,317.3294336,326.0825642,430.7544499,482.1490904,582.7755302,,,,,,
Spain,ESP,14676.70609,15323.6114,17019.53541,21495.70741,24918.64584,26510.71745,28482.60948,32709.40104,35578.73619,32333.4661,30736.00228,31834.21816,28562.29324,29210.09342,29600.47225,25683.84565,26528.49179,28208.30041
Estonia,EST,4070.032827,4498.957027,5308.347781,7174.237415,8850.465115,10338.31322,12595.41065,16586.4052,18094.54805,14726.31828,14638.60482,17454.84342,17421.89022,19029.7746,19941.45532,17074.92091,17574.68736,20200.37559
Ethiopia,ETH,123.8762057,120.1789279,111.3634356,118.8734466,135.7623858,161.6266248,193.7949056,243.3026822,325.3825543,379.7566385,341.3099092,354.8463544,468.5067249,502.1535887,571.1622759,645.4637627,706.7577541,767.5634778
European Union,EUU,18229.55141,18400.50767,20006.69568,24270.13266,27917.03876,29079.12604,30902.70134,35568.53816,38097.79753,33936.55819,33658.09787,36389.08523,34194.35316,35536.86208,36579.69918,32047.74924,32058.77358,33836.44744
Fragile and conflict affected situations,FCS,635.2207441,569.6207037,540.7768568,598.7971676,673.3290252,796.8977803,911.078808,1093.30624,1377.520141,1251.8725,1453.7164,1546.095017,1627.913888,1699.637379,1746.52115,1546.674042,1471.014651,1608.798658
Finland,FIN,24253.25042,24913.24452,26834.02625,32816.16088,37636.11173,38969.17163,41120.67651,48288.5491,53401.31487,47107.15571,46202.41516,50790.72415,47415.55987,49638.07713,49914.61864,42405.39744,43090.24751,45804.65421
Fiji,FJI,2076.013308,2038.891729,2259.055796,2835.973972,3332.918533,3658.630832,3749.939813,4078.82327,4177.657789,3369.408247,3651.966784,4353.121392,4546.738504,4763.068956,5046.03728,4921.896209,5153.351544,5589.388833
France,FRA,22465.64184,22527.31775,24275.2426,29691.18158,33874.74255,34879.72633,36544.50853,41600.58397,45413.06571,41631.13141,40703.34279,43810.20088,40838.02444,42554.12205,42955.24287,36526.77011,36854.96828,38484.18992
Faroe Islands,FRO,22479.57899,24300.3786,26553.74656,30993.07706,34979.0817,35847.39379,40719.72341,47024.22253,49772.86588,46521.79095,47398.11361,50788.93943,48422.00754,53612.71345,,,,
"Micronesia, Fed. Sts.",FSM,2170.92021,2240.021462,2257.773665,2293.579614,2247.795491,2352.683717,2393.845804,2435.246198,2501.384023,2669.400731,2838.530729,2998.874048,3148.074935,3044.546875,3057.943566,3016.011223,3068.507771,3187.556848
Gabon,GAB,4116.460693,3976.104887,4102.55271,4892.011618,5685.577736,6741.293948,7027.777345,8352.817101,10094.02746,7603.660223,8754.113376,10716.20258,9774.181017,9679.742995,9692.163874,7388.984144,7179.340661,7413.795207
United Kingdom,GBR,27769.93125,27284.22404,29603.46576,34007.88876,39824.76181,41524.06554,44016.72641,49949.15488,46523.26545,38010.10045,38709.91166,41240.42486,41538.30726,42407.37101,46412.11727,43929.69081,39899.38839,39953.57306
Georgia,GEO,691.9977101,733.9704142,779.3845935,928.0108227,1207.367228,1530.057521,1872.680416,2492.12878,3174.949001,2706.588512,2964.477034,3725.063221,4142.869175,4274.376857,4429.650075,3764.640912,3853.649904,4045.418967
Ghana,GHA,263.1124679,273.6596668,309.4844703,373.2815537,423.1936389,498.1723904,922.9351677,1090.686718,1224.401554,1086.765038,1312.607557,1574.978653,1629.800222,1814.492297,1432.227943,1361.113905,1513.461034,2046.109986
Gibraltar,GIB,,,,,,,,,,,,,,,,,,
Guinea,GIN,340.0516918,315.8398003,322.811171,370.1931781,386.3288283,303.424498,296.6803082,409.456775,437.4467238,436.6895539,438.7513346,459.2009012,502.3485646,540.1693204,561.0997387,554.0408766,508.1450784,823.4937155
"Gambia, The",GMB,635.5637584,541.0558913,440.9474786,359.6521781,413.8398773,432.1929061,439.3423674,519.0452794,607.9479735,549.317956,562.8517527,517.7942063,506.3853433,486.0795247,442.7466899,474.7165587,473.1904363,709.077158
Guinea-Bissau,GNB,297.7519443,309.486749,321.4813204,360.5718585,393.3138244,424.9534585,418.9445004,481.0694976,583.5445622,544.2220779,543.9574108,692.6009989,607.7518833,610.5663047,642.6256154,596.8717189,620.2147647,723.6094119
Equatorial Guinea,GNQ,1702.684901,2283.879039,2711.170114,3577.176197,6085.348907,10850.63334,12732.02759,15761.83913,22742.38159,16530.20937,17136.44568,21451.88617,21557.6528,20246.99308,19002.59733,10347.31257,8333.238263,9697.630234
Greece,GRC,12042.95373,12538.17883,14110.31339,18477.57841,21955.10409,22551.73574,24801.15781,28827.32636,31997.28201,29710.9703,26917.75898,25916.29353,22242.68193,21874.8195,21673.78107,18007.78991,18103.96932,18885.47598
Grenada,GRD,5117.589923,5109.958715,5292.232379,5773.073577,5836.177063,6754.512393,6764.722867,7322.596862,7946.944346,7395.088125,7365.666659,7410.408438,7583.187002,7955.615985,8569.776998,9212.192824,9469.219181,10451.02988
Greenland,GRL,19004.10729,19275.47334,20652.87833,24801.65903,28497.52016,29088.82683,32035.08065,36232.68274,41022.99421,41277.46789,40532.5081,44212.44114,42398.63367,43967.15016,45317.11429,39569.10579,,
Guatemala,GTM,1655.596261,1568.376276,1701.771491,1753.349471,1872.737083,2077.83438,2256.56724,2489.955836,2794.221809,2635.753474,2825.52407,3187.845296,3299.605139,3452.828934,3687.763767,3923.573344,4146.744129,4470.989572
Guam,GUM,,,21536.5039,22572.50466,24396.10624,26495.87758,26555.6452,27540.83913,29056.497,30025.56035,30700.43401,30862.11,32499.23425,33446.60951,34578.51609,35439.47045,,35675.79417
Guyana,GUY,946.0599372,925.5825046,960.8674827,986.7958173,1045.58861,1098.455216,1945.630905,2327.058324,2576.124957,2716.35256,3026.281212,3439.597513,3785.935665,3944.178173,4030.802321,4136.689919,4456.553697,4655.144448
High income,HIC,25755.80633,25340.82135,26235.64002,29221.5162,32304.08871,33920.88413,35531.33586,38531.31193,40584.10079,37756.6082,39310.39722,42219.06666,41991.62725,42192.35097,42780.34247,40078.05414,40677.68352,41352.35816
"Hong Kong SAR, China",HKG,25756.66378,25230.21633,24665.89,23977.01945,24928.10037,26649.7508,28224.21506,30594.01784,31515.66277,30697.34038,32549.99823,35142.48793,36707.77423,38357.82676,40247.36691,42351.0246,43681.14058,46193.61452
Honduras,HND,1088.783165,1130.405046,1132.872001,1157.30427,1217.657961,1311.741714,1437.628785,1592.572182,1751.595857,1815.489496,1932.85829,2120.584798,2178.383025,2136.773905,2242.711912,2326.158506,2361.15762,2480.125929
Heavily indebted poor countries (HIPC),HPC,326.4889259,301.7222747,318.7052466,352.4254041,393.4305974,442.0727633,513.4694823,594.1940819,696.3124781,688.2895822,735.022349,799.4415613,837.8669905,882.5291294,912.5077355,877.1027627,861.5101555,972.247915
Croatia,HRV,4919.628069,5245.421419,6053.716037,7805.881418,9365.742468,10224.24059,11363.41845,13546.69872,15893.86056,14157.14416,13505.74586,14539.18421,13235.97757,13574.74009,13467.46827,11579.66704,12090.66656,13386.51286
Haiti,HTI,462.4806524,413.7383164,393.0163027,329.7820946,387.9429725,465.3101876,505.4706206,615.8198192,674.7564147,668.2976046,662.2795182,740.9358452,766.8437623,810.2656073,830.1148117,814.5463952,739.5954363,765.6839246
Hungary,HUN,4623.406712,5270.805364,6650.644003,8396.253023,10259.52606,11161.72441,11398.76584,13842.60549,15669.25929,12967.16543,13025.53379,14048.87958,12834.32349,13613.60147,14117.97668,12365.62603,12664.84744,14278.8745
IBRD only,IBD,1451.116723,1453.762199,1460.104861,1630.905481,1919.538846,2269.875443,2663.014106,3280.226277,3900.96705,3747.014583,4506.611248,5278.635447,5534.607982,5804.921096,5921.518242,5541.775122,5498.824674,6053.866925
IDA & IBRD total,IBT,1224.067068,1219.792202,1226.173503,1366.000762,1600.643645,1883.294225,2205.041879,2696.938891,3197.807687,3065.295447,3688.144248,4295.095344,4494.66547,4707.454464,4803.124945,4489.783682,4435.508344,4854.592063
IDA total,IDA,392.0735354,372.8312266,390.3159141,431.5323808,489.9351442,553.6705401,650.1280266,741.3040216,870.6148285,838.4160864,1052.003977,1166.3974,1229.469384,1306.866879,1383.761925,1315.992511,1268.101681,1326.450177
IDA blend,IDB,484.3964747,457.4777394,486.5985282,542.5271533,639.7830064,737.5824357,905.3952182,1011.967474,1177.022251,1070.764515,1545.425773,1730.249021,1859.123576,1975.033374,2096.193875,1917.199693,1754.204613,1734.024323
Indonesia,IDN,780.0920744,747.9817455,899.5556857,1064.509447,1148.569096,1260.928834,1586.20504,1855.093915,2160.527606,2254.445606,3113.480635,3634.276805,3687.953996,3620.663981,3491.595887,3336.106686,3570.294888,3846.415709
IDA only,IDX,346.2416721,330.987459,342.7196365,376.7398515,415.7790737,462.6380645,523.4791082,607.3156304,719.5902548,726.4840066,803.2148764,881.0878458,909.3906558,966.8426708,1020.659246,1010.67792,1023.47332,1125.769214
Isle of Man,IMN,21551.77936,22059.72362,25688.4634,30366.03975,36608.45177,39033.70012,43482.35943,73153.32375,74203.13176,63635.79365,67690.56567,75117.9942,79028.04498,82356.82337,89941.64429,,,
India,IND,438.8646304,447.0138966,466.2008042,541.1352279,621.3183767,707.008019,792.0259698,1018.166373,991.4846304,1090.317765,1345.770153,1461.671957,1446.98541,1452.195373,1573.118089,1613.188708,1709.387921,1979.364301
Not classified,INX,,,,,,,,,,,,,,,,,,
Ireland,IRL,26241.91883,28223.55528,32539.01937,41107.15532,47631.06377,50886.82789,54326.09713,61388.17457,61235.40105,51983.78892,48538.58776,52567.52568,49231.36254,52034.76736,55503.32623,60664.1044,61606.48294,68885.45038
"Iran, Islamic Rep.",IRN,1657.169748,1890.991526,1892.036143,2231.342796,2638.679075,3121.844906,3631.243047,4685.121719,5452.489671,5414.456355,6273.378441,7842.434673,7680.600644,6607.068354,5424.309974,4957.581276,,5593.853783
Iraq,IRQ,,,,,1391.816923,1849.603911,2351.812429,3129.224922,4521.03247,3735.144836,4502.749048,5854.614497,6651.12242,6925.224046,6703.074737,4974.02693,4609.600694,5017.968065
Iceland,ISL,31813.37344,28585.9254,31996.20172,39044.09099,46917.27216,56249.75055,56103.54115,68348.31817,55575.29196,40461.89251,41676.44527,46000.02017,44333.85018,47810.30888,52473.11356,50734.4436,59976.94257,71311.78512
Israel,ISR,21052.10432,20306.19646,18431.15696,18946.99942,19888.172,20611.17931,21905.01769,25008.6037,29657.44201,27795.87671,30661.99004,33657.15727,32569.59683,36393.66932,37582.84624,35729.37253,37292.61222,40543.58417
Italy,ITA,20051.2426,20400.8109,22196.50736,27387.2258,31174.56118,31959.26215,33410.7482,37698.78573,40640.18465,36976.84512,35849.37364,38334.68477,34814.12436,35370.27441,35396.66517,30049.14755,30527.2682,32110.02726
Jamaica,JAM,3360.870402,3394.800708,3596.496282,3465.221998,3719.97351,4082.240762,4313.160082,4620.517913,4902.492378,4293.383274,4682.728424,5103.549487,5210.303363,5006.144952,4855.743789,4965.989857,4868.248263,5114.041081
Jordan,JOR,1657.889256,1728.260509,1812.288374,1889.213962,2061.456882,2203.083787,2537.30049,2762.806354,3385.609665,3492.130906,3679.190275,3807.324145,3870.753211,3992.867107,4066.940775,4096.099275,4087.937517,4129.751664
Japan,JPN,38532.04088,33846.46564,32289.35054,34808.39092,37688.72234,37217.64873,35433.98896,35275.22843,39339.29757,40855.17564,44507.67639,48167.99727,48603.47665,40454.44746,38096.21151,34474.13736,38894.46773,38430.29124
Kazakhstan,KAZ,1229.000958,1490.926751,1658.031146,2068.123657,2874.288291,3771.278957,5291.57565,6771.414797,8513.564645,7165.27705,9070.649972,11634.42422,12387.18982,13890.85601,12806.56511,10509.98107,7510.077209,9030.318806
Kenya,KEN,403.9797132,401.7763612,395.8493511,436.6875357,458.8843551,519.7999346,697.0066385,839.1081117,916.8992515,920.0816252,967.3400773,987.4453967,1155.020582,1229.114798,1335.06458,1349.970144,1455.359765,1594.834926
Kyrgyz Republic,KGZ,279.6205233,308.4087767,321.726538,380.5073624,433.2351189,476.55213,543.1107024,721.7686908,966.3936272,871.2243893,880.0377751,1123.883168,1177.974735,1282.437162,1279.769783,1121.082835,1077.036174,1220.473498
